# NewHybrids filial generation calls and expected ancestry proportions (prop_N) and
# hybrid class. The ancestry vector was determined from the expected ancestry proportions.
# See Evolution MS for info on expected ancetry proportions.
# 
# KCF
# 2019 (data) 8/16/23 (notes)
ind_code	prop_B	prop_T	prop_A	prop_D	filial_call	ancestry
CBI_05	1	0	0	0	Pure_1	BxB
CBI_08	1	0	0	0	Pure_1	BxB
CBI_12	1	0	0	0	Pure_1	BxB
CBI_13	1	0	0	0	Pure_1	BxB
CBI_15	1	0	0	0	Pure_1	BxB
CHL_01	1	0	0	0	Pure_1	BxB
CHL_04	1	0	0	0	Pure_1	BxB
CHL_06	1	0	0	0	Pure_1	BxB
CHL_07	1	0	0	0	Pure_1	BxB
CHL_08	1	0	0	0	Pure_1	BxB
CHL_12	1	0	0	0	Pure_1	BxB
CHL_13	1	0	0	0	Pure_1	BxB
CLK_01	1	0	0	0	Pure_1	BxB
CLK_02	1	0	0	0	Pure_1	BxB
CLK_03	1	0	0	0	Pure_1	BxB
CLK_04	1	0	0	0	Pure_1	BxB
CLK_05	1	0	0	0	Pure_1	BxB
CLK_06	1	0	0	0	Pure_1	BxB
CLK_08	1	0	0	0	Pure_1	BxB
CLK_09	1	0	0	0	Pure_1	BxB
CLK_10	1	0	0	0	Pure_1	BxB
CLK_11	1	0	0	0	Pure_1	BxB
CLK_12	1	0	0	0	Pure_1	BxB
CLK_14	1	0	0	0	Pure_1	BxB
CPL_01	1	0	0	0	Pure_1	BxB
CPL_02	1	0	0	0	Pure_1	BxB
CPL_03	1	0	0	0	Pure_1	BxB
CPL_04	1	0	0	0	Pure_1	BxB
CPL_05	1	0	0	0	Pure_1	BxB
CPL_07	1	0	0	0	Pure_1	BxB
CPL_08	1	0	0	0	Pure_1	BxB
CPL_09	1	0	0	0	Pure_1	BxB
CPL_10	1	0	0	0	Pure_1	BxB
CPL_11	1	0	0	0	Pure_1	BxB
CPL_12	1	0	0	0	Pure_1	BxB
CPL_13	1	0	0	0	Pure_1	BxB
CPL_14	1	0	0	0	Pure_1	BxB
CPL_15	1	0	0	0	Pure_1	BxB
CYH_01	0.875	0.125	0	0	P1.P1F1	BxT
CYH_02	0.875	0.125	0	0	P1.P1F1	BxT
CYH_03	1	0	0	0	Pure_1	BxB
CYH_06	0.875	0.125	0	0	P1.P1F1	BxT
CYH_07	0.5	0	0.5	0	F1	BxA
CYH_08	0.875	0.125	0	0	P1.P1F1	BxT
CYH_09	0.875	0.125	0	0	P1.P1F1	BxT
CYH_10	0.875	0.125	0	0	P1.P1F1	BxT
CYH_11	0.875	0.125	0	0	P1.P1F1	BxT
CYH_12	0.875	0.125	0	0	P1.P1F2	BxT
CYH_13	0.75	0.25	0	0	P1.F1	BxT
CYH_15	1	0	0	0	Pure_1	BxB
DCK_03	1	0	0	0	Pure_1	BxB
DCK_05	1	0	0	0	Pure_1	BxB
DCK_07	1	0	0	0	Pure_1	BxB
DCK_09	1	0	0	0	Pure_1	BxB
DCK_10	1	0	0	0	Pure_1	BxB
DCK_11	1	0	0	0	Pure_1	BxB
DCK_12	1	0	0	0	Pure_1	BxB
DCK_13	1	0	0	0	Pure_1	BxB
DCK_15	1	0	0	0	Pure_1	BxB
DMT_02	0.5	0	0.5	0	F1	BxA
DPR_01	1	0	0	0	Pure_1	BxB
DPR_02	1	0	0	0	Pure_1	BxB
DPR_04	1	0	0	0	Pure_1	BxB
DPR_05	1	0	0	0	Pure_1	BxB
DPR_06	1	0	0	0	Pure_1	BxB
DPR_07	1	0	0	0	Pure_1	BxB
DPR_09	1	0	0	0	Pure_1	BxB
DPR_10	1	0	0	0	Pure_1	BxB
DPR_11	1	0	0	0	Pure_1	BxB
DPR_12	1	0	0	0	Pure_1	BxB
DPR_13	1	0	0	0	Pure_1	BxB
DPR_14	1	0	0	0	Pure_1	BxB
DPR_15	1	0	0	0	Pure_1	BxB
FIS_01	1	0	0	0	Pure_1	BxB
FIS_05	1	0	0	0	Pure_1	BxB
FIS_06	1	0	0	0	Pure_1	BxB
FIS_10	1	0	0	0	Pure_1	BxB
FIS_11	1	0	0	0	Pure_1	BxB
FNO_01	0.875	0.125	0	0	P1.P1F2	BxT
FNO_02	0.875	0.125	0	0	P1.P1F2	BxT
FNO_03	1	0	0	0	Pure_1	BxB
FNO_04	1	0	0	0	Pure_1	BxB
FNO_05	0.875	0.125	0	0	P1.P1F2	BxT
FNO_06	0.875	0.125	0	0	P1.P1F2	BxT
FNO_07	0.875	0.125	0	0	P1.P1F2	BxT
FNO_08	0.875	0.125	0	0	P1.P1F2	BxT
FNO_09	1	0	0	0	Pure_1	BxB
FNO_10	0.875	0.125	0	0	P1.P1F1	BxT
FNO_11	0.875	0.125	0	0	P1.P1F2	BxT
FNO_13	0.875	0.125	0	0	P1.P1F1	BxT
FNO_14	0.875	0.125	0	0	P1.P1F2	BxT
FNO_15	0.875	0.125	0	0	P1.P1F2	BxT
GAM_01	1	0	0	0	Pure_1	BxB
GAM_02	1	0	0	0	Pure_1	BxB
GAM_03	1	0	0	0	Pure_1	BxB
GAM_04	1	0	0	0	Pure_1	BxB
GAM_05	1	0	0	0	Pure_1	BxB
GAM_06	1	0	0	0	Pure_1	BxB
GAM_07	1	0	0	0	Pure_1	BxB
GAM_08	1	0	0	0	Pure_1	BxB
GAM_11	1	0	0	0	Pure_1	BxB
GAM_13	1	0	0	0	Pure_1	BxB
HBY_01	1	0	0	0	Pure_1	BxB
HBY_02	1	0	0	0	Pure_1	BxB
HBY_03	1	0	0	0	Pure_1	BxB
HBY_04	1	0	0	0	Pure_1	BxB
HBY_05	1	0	0	0	Pure_1	BxB
HBY_06	1	0	0	0	Pure_1	BxB
HBY_07	1	0	0	0	Pure_1	BxB
HBY_09	1	0	0	0	Pure_1	BxB
HBY_10	0.875	0.125	0	0	P1.P1F1	BxT
HBY_11	0.875	0.125	0	0	P1.P1F1	BxT
HBY_12	1	0	0	0	Pure_1	BxB
HBY_13	1	0	0	0	Pure_1	BxB
HBY_14	1	0	0	0	Pure_1	BxB
HBY_15	1	0	0	0	Pure_1	BxB
HST_01	1	0	0	0	Pure_1	BxB
HST_02	1	0	0	0	Pure_1	BxB
HST_03	1	0	0	0	Pure_1	BxB
HST_05	1	0	0	0	Pure_1	BxB
HST_07	1	0	0	0	Pure_1	BxB
HST_08	1	0	0	0	Pure_1	BxB
HST_09	1	0	0	0	Pure_1	BxB
HST_10	1	0	0	0	Pure_1	BxB
HST_12	1	0	0	0	Pure_1	BxB
HWK_01	1	0	0	0	Pure_1	BxB
HWK_04	1	0	0	0	Pure_1	BxB
HWK_05	1	0	0	0	Pure_1	BxB
HWK_07	1	0	0	0	Pure_1	BxB
HWK_08	1	0	0	0	Pure_1	BxB
HWK_10	1	0	0	0	Pure_1	BxB
HWK_11	1	0	0	0	Pure_1	BxB
HWK_13	1	0	0	0	Pure_1	BxB
HWK_14	1	0	0	0	Pure_1	BxB
JKH_01	0.75	0.25	0	0	P1.F2	BxT
JKH_02	0.75	0.25	0	0	P1.F2	BxT
JKH_03	0.875	0.125	0	0	P1.P1F2	BxT
JKH_05	0.75	0.25	0	0	P1.F2	BxT
JKH_06	0.75	0.25	0	0	P1.F2	BxT
JKH_07	0.75	0.25	0	0	P1.F2	BxT
JKH_08	0.75	0.25	0	0	P1.F2	BxT
JKH_09	0.875	0.125	0	0	P1.P1F2	BxT
JKH_10	0.75	0.25	0	0	P1.F2	BxT
JKH_11	0.75	0.25	0	0	P1.F2	BxT
JKH_12	0.75	0.25	0	0	P1.F2	BxT
JKH_13	0.75	0.25	0	0	P1.F2	BxT
JKH_14	0.875	0.125	0	0	P1.P1F2	BxT
JKH_15	0.875	0.125	0	0	P1.P1F2	BxT
